glyph	codepoint	block	cl100k	o200k	tier	unicode_name
ά	U+03AC	greek	1	1	A	GREEK SMALL LETTER ALPHA WITH TONOS
έ	U+03AD	greek	1	1	A	GREEK SMALL LETTER EPSILON WITH TONOS
ή	U+03AE	greek	1	1	A	GREEK SMALL LETTER ETA WITH TONOS
ί	U+03AF	greek	1	1	A	GREEK SMALL LETTER IOTA WITH TONOS
α	U+03B1	greek	1	1	A	GREEK SMALL LETTER ALPHA
β	U+03B2	greek	1	1	A	GREEK SMALL LETTER BETA
γ	U+03B3	greek	1	1	A	GREEK SMALL LETTER GAMMA
δ	U+03B4	greek	1	1	A	GREEK SMALL LETTER DELTA
ε	U+03B5	greek	1	1	A	GREEK SMALL LETTER EPSILON
η	U+03B7	greek	1	1	A	GREEK SMALL LETTER ETA
θ	U+03B8	greek	1	1	A	GREEK SMALL LETTER THETA
ι	U+03B9	greek	1	1	A	GREEK SMALL LETTER IOTA
κ	U+03BA	greek	1	1	A	GREEK SMALL LETTER KAPPA
λ	U+03BB	greek	1	1	A	GREEK SMALL LETTER LAMDA
μ	U+03BC	greek	1	1	A	GREEK SMALL LETTER MU
ν	U+03BD	greek	1	1	A	GREEK SMALL LETTER NU
ο	U+03BF	greek	1	1	A	GREEK SMALL LETTER OMICRON
π	U+03C0	greek	1	1	A	GREEK SMALL LETTER PI
ρ	U+03C1	greek	1	1	A	GREEK SMALL LETTER RHO
ς	U+03C2	greek	1	1	A	GREEK SMALL LETTER FINAL SIGMA
σ	U+03C3	greek	1	1	A	GREEK SMALL LETTER SIGMA
τ	U+03C4	greek	1	1	A	GREEK SMALL LETTER TAU
υ	U+03C5	greek	1	1	A	GREEK SMALL LETTER UPSILON
φ	U+03C6	greek	1	1	A	GREEK SMALL LETTER PHI
χ	U+03C7	greek	1	1	A	GREEK SMALL LETTER CHI
ω	U+03C9	greek	1	1	A	GREEK SMALL LETTER OMEGA
ό	U+03CC	greek	1	1	A	GREEK SMALL LETTER OMICRON WITH TONOS
Ђ	U+0402	cyrillic	1	1	A	CYRILLIC CAPITAL LETTER DJE
А	U+0410	cyrillic	1	1	A	CYRILLIC CAPITAL LETTER A
Б	U+0411	cyrillic	1	1	A	CYRILLIC CAPITAL LETTER BE
В	U+0412	cyrillic	1	1	A	CYRILLIC CAPITAL LETTER VE
Г	U+0413	cyrillic	1	1	A	CYRILLIC CAPITAL LETTER GHE
Д	U+0414	cyrillic	1	1	A	CYRILLIC CAPITAL LETTER DE
Е	U+0415	cyrillic	1	1	A	CYRILLIC CAPITAL LETTER IE
З	U+0417	cyrillic	1	1	A	CYRILLIC CAPITAL LETTER ZE
И	U+0418	cyrillic	1	1	A	CYRILLIC CAPITAL LETTER I
К	U+041A	cyrillic	1	1	A	CYRILLIC CAPITAL LETTER KA
Л	U+041B	cyrillic	1	1	A	CYRILLIC CAPITAL LETTER EL
М	U+041C	cyrillic	1	1	A	CYRILLIC CAPITAL LETTER EM
